"Step","earnest-music-79 - Batch validation Loss","earnest-music-79 - Batch validation Loss__MIN","earnest-music-79 - Batch validation Loss__MAX"
"1","2.4005434416542673","2.4005434416542673","2.4005434416542673"
"2","1.9922288152665981","1.9922288152665981","1.9922288152665981"
"3","1.7238273116376392","1.7238273116376392","1.7238273116376392"
"4","1.4610261913311913","1.4610261913311913","1.4610261913311913"
"5","1.2992045787720827","1.2992045787720827","1.2992045787720827"
"6","1.1219053127666334","1.1219053127666334","1.1219053127666334"
"7","1.0157503961733583","1.0157503961733583","1.0157503961733583"
"8","0.9456320725805707","0.9456320725805707","0.9456320725805707"
"9","0.8412426220064784","0.8412426220064784","0.8412426220064784"
"10","0.7825609873213357","0.7825609873213357","0.7825609873213357"
"11","0.7173210423293477","0.7173210423293477","0.7173210423293477"
"12","0.718228866223287","0.718228866223287","0.718228866223287"
"13","0.6766693986767068","0.6766693986767068","0.6766693986767068"
"14","0.6716001947504144","0.6716001947504144","0.6716001947504144"
"15","0.6534509285702766","0.6534509285702766","0.6534509285702766"
"16","0.6046472712372637","0.6046472712372637","0.6046472712372637"
"17","0.6092232112683179","0.6092232112683179","0.6092232112683179"
"18","0.6207220035033726","0.6207220035033726","0.6207220035033726"
"19","0.6182196988398151","0.6182196988398151","0.6182196988398151"
"20","0.606531267885559","0.606531267885559","0.606531267885559"
"21","0.5633195372811357","0.5633195372811357","0.5633195372811357"
"22","0.5612095872890067","0.5612095872890067","0.5612095872890067"
"23","0.6052748366541489","0.6052748366541489","0.6052748366541489"
"24","0.5568948237896902","0.5568948237896902","0.5568948237896902"
"25","0.5660009754172826","0.5660009754172826","0.5660009754172826"
"26","0.5465560269051076","0.5465560269051076","0.5465560269051076"
"27","0.5612212364583684","0.5612212364583684","0.5612212364583684"
"28","0.5641134334507427","0.5641134334507427","0.5641134334507427"
"29","0.5827674971849361","0.5827674971849361","0.5827674971849361"
"30","0.5611532968519616","0.5611532968519616","0.5611532968519616"
"31","0.5801042501288285","0.5801042501288285","0.5801042501288285"
"32","0.5593199930077885","0.5593199930077885","0.5593199930077885"
"33","0.5436110576343971","0.5436110576343971","0.5436110576343971"
"34","0.5747030497993812","0.5747030497993812","0.5747030497993812"
"35","0.5674131347812521","0.5674131347812521","0.5674131347812521"
"36","0.5901251156069857","0.5901251156069857","0.5901251156069857"
"37","0.5588300651722455","0.5588300651722455","0.5588300651722455"
"38","0.5712869339627118","0.5712869339627118","0.5712869339627118"
"39","0.569506740275601","0.569506740275601","0.569506740275601"
"40","0.5551906218126508","0.5551906218126508","0.5551906218126508"
"41","0.5663263442628451","0.5663263442628451","0.5663263442628451"
"42","0.5758661521467854","0.5758661521467854","0.5758661521467854"
"43","0.5483307135260389","0.5483307135260389","0.5483307135260389"
"44","0.5457437399681391","0.5457437399681391","0.5457437399681391"
"45","0.5766211314010092","0.5766211314010092","0.5766211314010092"
"46","0.5756643527219","0.5756643527219","0.5756643527219"
"47","0.5613526131681946","0.5613526131681946","0.5613526131681946"
"48","0.557890144349791","0.557890144349791","0.557890144349791"
"49","0.5880210038884033","0.5880210038884033","0.5880210038884033"
"50","0.5537009815502911","0.5537009815502911","0.5537009815502911"
"51","0.5832982065844652","0.5832982065844652","0.5832982065844652"
"52","0.5399256072903877","0.5399256072903877","0.5399256072903877"
"53","0.5826866656112548","0.5826866656112548","0.5826866656112548"
"54","0.5590209134119151","0.5590209134119151","0.5590209134119151"
"55","0.574798892149293","0.574798892149293","0.574798892149293"
