"Step","wobbly-voice-77 - Batch validation Loss","wobbly-voice-77 - Batch validation Loss__MIN","wobbly-voice-77 - Batch validation Loss__MAX"
"1","2.3082943393077313","2.3082943393077313","2.3082943393077313"
"2","2.1860612508064627","2.1860612508064627","2.1860612508064627"
"3","2.0345888167465076","2.0345888167465076","2.0345888167465076"
"4","2.000025268267633","2.000025268267633","2.000025268267633"
"5","1.8426696433176215","1.8426696433176215","1.8426696433176215"
"6","1.7224237150286066","1.7224237150286066","1.7224237150286066"
"7","1.712507429712975","1.712507429712975","1.712507429712975"
"8","1.5468596702327515","1.5468596702327515","1.5468596702327515"
"9","1.5562095723257285","1.5562095723257285","1.5562095723257285"
"10","1.4135628998310081","1.4135628998310081","1.4135628998310081"
"11","1.3816600225628628","1.3816600225628628","1.3816600225628628"
"12","1.3452926769656692","1.3452926769656692","1.3452926769656692"
"13","1.2193982221371549","1.2193982221371549","1.2193982221371549"
"14","1.1969885816939154","1.1969885816939154","1.1969885816939154"
"15","1.121574301056786","1.121574301056786","1.121574301056786"
"16","1.0532513147347007","1.0532513147347007","1.0532513147347007"
"17","1.0478718418565733","1.0478718418565733","1.0478718418565733"
"18","1.0351669405679098","1.0351669405679098","1.0351669405679098"
"19","0.914467589466021","0.914467589466021","0.914467589466021"
"20","0.8946474512309416","0.8946474512309416","0.8946474512309416"
"21","0.8757363105715121","0.8757363105715121","0.8757363105715121"
"22","0.8211833411202996","0.8211833411202996","0.8211833411202996"
"23","0.8015412321193705","0.8015412321193705","0.8015412321193705"
"24","0.7580636202187427","0.7580636202187427","0.7580636202187427"
"25","0.7452945769288082","0.7452945769288082","0.7452945769288082"
"26","0.7077345511157063","0.7077345511157063","0.7077345511157063"
"27","0.7073882645490752","0.7073882645490752","0.7073882645490752"
"28","0.7294823501820762","0.7294823501820762","0.7294823501820762"
"29","0.699996398406093","0.699996398406093","0.699996398406093"
"30","0.6980516759821865","0.6980516759821865","0.6980516759821865"
"31","0.6353543897143592","0.6353543897143592","0.6353543897143592"
"32","0.6614889612077883","0.6614889612077883","0.6614889612077883"
"33","0.6286559071285136","0.6286559071285136","0.6286559071285136"
"34","0.5932403771666495","0.5932403771666495","0.5932403771666495"
"35","0.6063766544890314","0.6063766544890314","0.6063766544890314"
"36","0.572068963104444","0.572068963104444","0.572068963104444"
"37","0.5447334173637361","0.5447334173637361","0.5447334173637361"
"38","0.5543058442786374","0.5543058442786374","0.5543058442786374"
"39","0.569214119506696","0.569214119506696","0.569214119506696"
"40","0.5190117860597627","0.5190117860597627","0.5190117860597627"
"41","0.5618083106537861","0.5618083106537861","0.5618083106537861"
"42","0.5295671230458249","0.5295671230458249","0.5295671230458249"
"43","0.5490011876020546","0.5490011876020546","0.5490011876020546"
"44","0.514987144810716","0.514987144810716","0.514987144810716"
"45","0.5073064531685614","0.5073064531685614","0.5073064531685614"
"46","0.5058167465673049","0.5058167465673049","0.5058167465673049"
"47","0.506833923850151","0.506833923850151","0.506833923850151"
"48","0.49646322830451706","0.49646322830451706","0.49646322830451706"
"49","0.494059524557525","0.494059524557525","0.494059524557525"
"50","0.5111134982555354","0.5111134982555354","0.5111134982555354"
"51","0.49082217548074536","0.49082217548074536","0.49082217548074536"
"52","0.477092571009062","0.477092571009062","0.477092571009062"
"53","0.5152558197945201","0.5152558197945201","0.5152558197945201"
"54","0.4813104601753331","0.4813104601753331","0.4813104601753331"
"55","0.4895076375068741","0.4895076375068741","0.4895076375068741"
"56","0.47426318740395","0.47426318740395","0.47426318740395"
"57","0.4668382147939858","0.4668382147939858","0.4668382147939858"
"58","0.5062633065081968","0.5062633065081968","0.5062633065081968"
"59","0.5054957781542011","0.5054957781542011","0.5054957781542011"
"60","0.47008926258913886","0.47008926258913886","0.47008926258913886"
"61","0.467807851288607","0.467807851288607","0.467807851288607"
"62","0.4997249416897419","0.4997249416897419","0.4997249416897419"
"63","0.46661535974325186","0.46661535974325186","0.46661535974325186"
"64","0.48819199701631777","0.48819199701631777","0.48819199701631777"
"65","0.47751656975856793","0.47751656975856793","0.47751656975856793"
"66","0.46011663701583055","0.46011663701583055","0.46011663701583055"
"67","0.4949031392692772","0.4949031392692772","0.4949031392692772"
"68","0.47806106815329474","0.47806106815329474","0.47806106815329474"
"69","0.45187487609534127","0.45187487609534127","0.45187487609534127"
"70","0.4939871993715565","0.4939871993715565","0.4939871993715565"
"71","0.463298191323915","0.463298191323915","0.463298191323915"
"72","0.49545545520516066","0.49545545520516066","0.49545545520516066"
"73","0.461476524552512","0.461476524552512","0.461476524552512"
"74","0.47438196633152996","0.47438196633152996","0.47438196633152996"
"75","0.45508194468023544","0.45508194468023544","0.45508194468023544"
"76","0.46591560133039167","0.46591560133039167","0.46591560133039167"
"77","0.4698270155080545","0.4698270155080545","0.4698270155080545"
"78","0.4929555744034161","0.4929555744034161","0.4929555744034161"
"79","0.48674419624486265","0.48674419624486265","0.48674419624486265"
"80","0.47005066109210536","0.47005066109210536","0.47005066109210536"
"81","0.45821825613469824","0.45821825613469824","0.45821825613469824"
"82","0.4557805453294433","0.4557805453294433","0.4557805453294433"
"83","0.49420618390537896","0.49420618390537896","0.49420618390537896"
"84","0.49194564331025153","0.49194564331025153","0.49194564331025153"
"85","0.4724247590500186","0.4724247590500186","0.4724247590500186"
"86","0.4927916883081352","0.4927916883081352","0.4927916883081352"
"87","0.4644744240120969","0.4644744240120969","0.4644744240120969"
"88","0.44994466234617403","0.44994466234617403","0.44994466234617403"
"89","0.46916864781148393","0.46916864781148393","0.46916864781148393"
"90","0.47049345918750163","0.47049345918750163","0.47049345918750163"
"91","0.49109492697672646","0.49109492697672646","0.49109492697672646"
"92","0.49181426114276505","0.49181426114276505","0.49181426114276505"
"93","0.4596407639822502","0.4596407639822502","0.4596407639822502"
"94","0.4586359700018853","0.4586359700018853","0.4586359700018853"
"95","0.4615342277057523","0.4615342277057523","0.4615342277057523"
"96","0.46409937121599953","0.46409937121599953","0.46409937121599953"
"97","0.48543184690258023","0.48543184690258023","0.48543184690258023"
"98","0.49344279889713993","0.49344279889713993","0.49344279889713993"
"99","0.49075762334181017","0.49075762334181017","0.49075762334181017"
"100","0.4925615671981192","0.4925615671981192","0.4925615671981192"
"101","0.4604708397185282","0.4604708397185282","0.4604708397185282"
"102","0.45967825197662515","0.45967825197662515","0.45967825197662515"
"103","0.4605846048430453","0.4605846048430453","0.4605846048430453"
"104","0.46397099256022045","0.46397099256022045","0.46397099256022045"
"105","0.4603613095947524","0.4603613095947524","0.4603613095947524"
"106","0.47795125010047634","0.47795125010047634","0.47795125010047634"
"107","0.4540368396939414","0.4540368396939414","0.4540368396939414"
"108","0.4911168855782925","0.4911168855782925","0.4911168855782925"
"109","0.491636817720223","0.491636817720223","0.491636817720223"
"110","0.49249876752734734","0.49249876752734734","0.49249876752734734"
"111","0.4894493838878541","0.4894493838878541","0.4894493838878541"
"112","0.4686323058677581","0.4686323058677581","0.4686323058677581"
"113","0.458831221096455","0.458831221096455","0.458831221096455"
"114","0.4561287704493553","0.4561287704493553","0.4561287704493553"
"115","0.46092670270557057","0.46092670270557057","0.46092670270557057"
"116","0.47139886085452476","0.47139886085452476","0.47139886085452476"
"117","0.4694467098321165","0.4694467098321165","0.4694467098321165"
"118","0.4763473437680144","0.4763473437680144","0.4763473437680144"
"119","0.4570183095973599","0.4570183095973599","0.4570183095973599"
"120","0.46026475011862916","0.46026475011862916","0.46026475011862916"
"121","0.48391410141269775","0.48391410141269775","0.48391410141269775"
"122","0.46050838543428485","0.46050838543428485","0.46050838543428485"
"123","0.4577275420756611","0.4577275420756611","0.4577275420756611"
"124","0.47060115786332946","0.47060115786332946","0.47060115786332946"
"125","0.4607046622603308","0.4607046622603308","0.4607046622603308"
"126","0.49223397427063464","0.49223397427063464","0.49223397427063464"
"127","0.4621663106828967","0.4621663106828967","0.4621663106828967"
"128","0.4840678262611757","0.4840678262611757","0.4840678262611757"
"129","0.46144401616229724","0.46144401616229724","0.46144401616229724"
"130","0.4914540375445401","0.4914540375445401","0.4914540375445401"
"131","0.49095362543524956","0.49095362543524956","0.49095362543524956"
"132","0.46456127622525833","0.46456127622525833","0.46456127622525833"
"133","0.45623196218704887","0.45623196218704887","0.45623196218704887"
"134","0.47647662433273996","0.47647662433273996","0.47647662433273996"
"135","0.4935665318508951","0.4935665318508951","0.4935665318508951"
"136","0.46446803398649594","0.46446803398649594","0.46446803398649594"
"137","0.45305243578778787","0.45305243578778787","0.45305243578778787"
"138","0.45674108200664165","0.45674108200664165","0.45674108200664165"
"139","0.46234432631198996","0.46234432631198996","0.46234432631198996"
"140","0.4541114759396049","0.4541114759396049","0.4541114759396049"
"141","0.4774349932509243","0.4774349932509243","0.4774349932509243"
"142","0.4780585466307995","0.4780585466307995","0.4780585466307995"
"143","0.4526611391008429","0.4526611391008429","0.4526611391008429"
"144","0.4682139581562277","0.4682139581562277","0.4682139581562277"
"145","0.4637840369149878","0.4637840369149878","0.4637840369149878"
"146","0.4590898695901996","0.4590898695901996","0.4590898695901996"
"147","0.46927560189619466","0.46927560189619466","0.46927560189619466"
"148","0.4934870591944411","0.4934870591944411","0.4934870591944411"
"149","0.44907829965900203","0.44907829965900203","0.44907829965900203"
"150","0.4877608593185654","0.4877608593185654","0.4877608593185654"
"151","0.45413445694302756","0.45413445694302756","0.45413445694302756"
"152","0.47036155498002863","0.47036155498002863","0.47036155498002863"
"153","0.4669303178468119","0.4669303178468119","0.4669303178468119"
"154","0.4458089591107166","0.4458089591107166","0.4458089591107166"
"155","0.47298736835402233","0.47298736835402233","0.47298736835402233"
"156","0.4903239529378941","0.4903239529378941","0.4903239529378941"
"157","0.47769809804553215","0.47769809804553215","0.47769809804553215"
"158","0.45835609708582503","0.45835609708582503","0.45835609708582503"
"159","0.4556938524371922","0.4556938524371922","0.4556938524371922"
"160","0.45944514996541586","0.45944514996541586","0.45944514996541586"
"161","0.48334730635719336","0.48334730635719336","0.48334730635719336"
"162","0.45862749871707553","0.45862749871707553","0.45862749871707553"
"163","0.4534409941722991","0.4534409941722991","0.4534409941722991"
"164","0.49202327229915055","0.49202327229915055","0.49202327229915055"
"165","0.4539725223414507","0.4539725223414507","0.4539725223414507"
"166","0.4948324387577032","0.4948324387577032","0.4948324387577032"
"167","0.49176834561155025","0.49176834561155025","0.49176834561155025"
"168","0.47627716190087355","0.47627716190087355","0.47627716190087355"
"169","0.45431868243936757","0.45431868243936757","0.45431868243936757"
"170","0.46150965489838114","0.46150965489838114","0.46150965489838114"
"171","0.45855652845713923","0.45855652845713923","0.45855652845713923"
"172","0.4575341660618869","0.4575341660618869","0.4575341660618869"
"173","0.45989604400295564","0.45989604400295564","0.45989604400295564"
"174","0.4577873402806629","0.4577873402806629","0.4577873402806629"
"175","0.46250360400246365","0.46250360400246365","0.46250360400246365"
"176","0.4916176098323609","0.4916176098323609","0.4916176098323609"
"177","0.49322226482701803","0.49322226482701803","0.49322226482701803"
"178","0.4686828505591871","0.4686828505591871","0.4686828505591871"
"179","0.4859253461848162","0.4859253461848162","0.4859253461848162"
"180","0.45771059610778053","0.45771059610778053","0.45771059610778053"
"181","0.4833077518225888","0.4833077518225888","0.4833077518225888"
"182","0.4781001044195361","0.4781001044195361","0.4781001044195361"
"183","0.4577242106246449","0.4577242106246449","0.4577242106246449"
"184","0.494985119795387","0.494985119795387","0.494985119795387"
"185","0.4844176448702321","0.4844176448702321","0.4844176448702321"
"186","0.4891069313267794","0.4891069313267794","0.4891069313267794"
"187","0.4687722725445257","0.4687722725445257","0.4687722725445257"
"188","0.4778574878777854","0.4778574878777854","0.4778574878777854"
"189","0.4590635784854161","0.4590635784854161","0.4590635784854161"
"190","0.45649367526761586","0.45649367526761586","0.45649367526761586"
"191","0.4536810804532966","0.4536810804532966","0.4536810804532966"
"192","0.4483030170001642","0.4483030170001642","0.4483030170001642"
"193","0.4837487910575007","0.4837487910575007","0.4837487910575007"
"194","0.4632952473965012","0.4632952473965012","0.4632952473965012"
"195","0.47187917953332226","0.47187917953332226","0.47187917953332226"
"196","0.484409178270345","0.484409178270345","0.484409178270345"
"197","0.455865372843618","0.455865372843618","0.455865372843618"
"198","0.4890490658233443","0.4890490658233443","0.4890490658233443"
"199","0.4833019887384254","0.4833019887384254","0.4833019887384254"
"200","0.4913979054900045","0.4913979054900045","0.4913979054900045"
