"Step","wobbly-voice-77 - Batch Training Loss","wobbly-voice-77 - Batch Training Loss__MIN","wobbly-voice-77 - Batch Training Loss__MAX"
"1","2.2262278194015095","2.2262278194015095","2.2262278194015095"
"2","2.0946304816371866","2.0946304816371866","2.0946304816371866"
"3","1.9850255302829847","1.9850255302829847","1.9850255302829847"
"4","1.8689556555836242","1.8689556555836242","1.8689556555836242"
"5","1.7644975023794627","1.7644975023794627","1.7644975023794627"
"6","1.6539775972339592","1.6539775972339592","1.6539775972339592"
"7","1.5790128450514676","1.5790128450514676","1.5790128450514676"
"8","1.4792102695513245","1.4792102695513245","1.4792102695513245"
"9","1.414191572700694","1.414191572700694","1.414191572700694"
"10","1.3352017987204248","1.3352017987204248","1.3352017987204248"
"11","1.2597796602134714","1.2597796602134714","1.2597796602134714"
"12","1.2012867256330544","1.2012867256330544","1.2012867256330544"
"13","1.1356640931549844","1.1356640931549844","1.1356640931549844"
"14","1.0818328051207824","1.0818328051207824","1.0818328051207824"
"15","1.034456509644291","1.034456509644291","1.034456509644291"
"16","0.9782054764738829","0.9782054764738829","0.9782054764738829"
"17","0.9311296858616815","0.9311296858616815","0.9311296858616815"
"18","0.8916947310802786","0.8916947310802786","0.8916947310802786"
"19","0.8471667696475595","0.8471667696475595","0.8471667696475595"
"20","0.8064558972575228","0.8064558972575228","0.8064558972575228"
"21","0.765536335506722","0.765536335506722","0.765536335506722"
"22","0.742184790557987","0.742184790557987","0.742184790557987"
"23","0.711180679216369","0.711180679216369","0.711180679216369"
"24","0.6878440827173012","0.6878440827173012","0.6878440827173012"
"25","0.6539921146558593","0.6539921146558593","0.6539921146558593"
"26","0.6315603631494147","0.6315603631494147","0.6315603631494147"
"27","0.612261883810051","0.612261883810051","0.612261883810051"
"28","0.5841967961110273","0.5841967961110273","0.5841967961110273"
"29","0.564090408795949","0.564090408795949","0.564090408795949"
"30","0.5479521861832843","0.5479521861832843","0.5479521861832843"
"31","0.5375547672606417","0.5375547672606417","0.5375547672606417"
"32","0.5237222814983261","0.5237222814983261","0.5237222814983261"
"33","0.5106206518956599","0.5106206518956599","0.5106206518956599"
"34","0.4912927107394786","0.4912927107394786","0.4912927107394786"
"35","0.48136203576246617","0.48136203576246617","0.48136203576246617"
"36","0.46759368905932036","0.46759368905932036","0.46759368905932036"
"37","0.45807433893026284","0.45807433893026284","0.45807433893026284"
"38","0.4503364312624279","0.4503364312624279","0.4503364312624279"
"39","0.44631200484943917","0.44631200484943917","0.44631200484943917"
"40","0.43756279850987195","0.43756279850987195","0.43756279850987195"
"41","0.43167621029322706","0.43167621029322706","0.43167621029322706"
"42","0.4212492489535138","0.4212492489535138","0.4212492489535138"
"43","0.41708758667288165","0.41708758667288165","0.41708758667288165"
"44","0.41911398168995256","0.41911398168995256","0.41911398168995256"
"45","0.40800409509737845","0.40800409509737845","0.40800409509737845"
"46","0.40715909873357153","0.40715909873357153","0.40715909873357153"
"47","0.402850574085356","0.402850574085356","0.402850574085356"
"48","0.40114391937321453","0.40114391937321453","0.40114391937321453"
"49","0.3956914762353743","0.3956914762353743","0.3956914762353743"
"50","0.3909902340162175","0.3909902340162175","0.3909902340162175"
"51","0.38844354201449827","0.38844354201449827","0.38844354201449827"
"52","0.38698148850525077","0.38698148850525077","0.38698148850525077"
"53","0.3853711044007457","0.3853711044007457","0.3853711044007457"
"54","0.38588263580503074","0.38588263580503074","0.38588263580503074"
"55","0.3831379450707428","0.3831379450707428","0.3831379450707428"
"56","0.38235882042481845","0.38235882042481845","0.38235882042481845"
"57","0.3789383748183494","0.3789383748183494","0.3789383748183494"
"58","0.37684229439904077","0.37684229439904077","0.37684229439904077"
"59","0.38002336725654134","0.38002336725654134","0.38002336725654134"
"60","0.3709611675700746","0.3709611675700746","0.3709611675700746"
"61","0.3693070209656843","0.3693070209656843","0.3693070209656843"
"62","0.3716392347545939","0.3716392347545939","0.3716392347545939"
"63","0.3676111411983502","0.3676111411983502","0.3676111411983502"
"64","0.37571065495663464","0.37571065495663464","0.37571065495663464"
"65","0.36712513708989136","0.36712513708989136","0.36712513708989136"
"66","0.36533665831070383","0.36533665831070383","0.36533665831070383"
"67","0.37231018007884126","0.37231018007884126","0.37231018007884126"
"68","0.36788918133981396","0.36788918133981396","0.36788918133981396"
"69","0.3720930926648977","0.3720930926648977","0.3720930926648977"
"70","0.3660808244162066","0.3660808244162066","0.3660808244162066"
"71","0.37200751473193705","0.37200751473193705","0.37200751473193705"
